APV        ,RR Number,PO Number,PO Date   ,Receipt Dt,Reference Document            ,BP Code / Received From         ,Item Code / Description      ,Quantity      ,Price       ,Receipt Amount,Cur,RR Rate ,Amount in PHP ,Reference Num  ,User     ,Item Type,Due Days,Due Date
0,4G0211030,P11001585,10/1/2025,10/1/2025,25-051/TPJ-GTC-068-25 (GSC)*GT,280000102 TRANS PACIFIC JOURNEY ,4101040023 FISH-Big EyeFrozn-,50,1.64,82,USD,58.149,"4,768.22",               ,asano    ,Product,30,10/31/2025
0,4G0211030,P11001585,10/1/2025,10/1/2025,25-051/TPJ-GTC-068-25 (GSC)*GT,280000102 TRANS PACIFIC JOURNEY ,4101040025 FISH-BigEyeFrozn-1,37,1.64,60.68,USD,58.149,"3,528.48",               ,asano    ,Product,30,10/31/2025
0,4G0211030,P11001585,10/1/2025,10/1/2025,25-051/TPJ-GTC-068-25 (GSC)*GT,280000102 TRANS PACIFIC JOURNEY ,4101040026 FISH-BigEyeFrozn-2,199,0.5,99.5,USD,58.149,"5,785.83",               ,asano    ,Product,30,10/31/2025
0,4G0227091,P11001594,10/2/2025,1/13/2026,SVI#0037                      ,280000243 TRADE BAY INC.        ,9507000083 SUPPLY OF LABOR AN,0.64,"4,750,000.00","3,050,925.00",PHP,59.241,"3,050,925.00",               ,cws      ,Cost,30,2/12/2026
0,4G0212603,P11001611,10/3/2025,10/14/2025,SCI#6295                      ,"252000076 SUNICO, MARIO DECATORI",9502000001 FIRE EXTINGUISHER ,3,900,"2,700.00",PHP,58.197,"2,700.00",               ,cws      ,Cost,30,11/13/2025
0,4G0212603,P11001611,10/3/2025,10/14/2025,SCI#6295                      ,"252000076 SUNICO, MARIO DECATORI",9502000001 FIRE EXTINGUISHER ,1,"1,800.00","1,800.00",PHP,58.197,"1,800.00",               ,cws      ,Cost,30,11/13/2025
0,4G0211656,P11001618,10/3/2025,10/6/2025,DR#000518                     ,"205000072 BARUG, ELMER LERIO    ",6116430006 RECORDING CHART PA,400,117.5,"47,000.00",PHP,57.988,"47,000.00",               ,mcabatua ,Product,30,11/5/2025
0,4G0213753,P11001621,10/3/2025,10/22/2025,DR#8330                       ,"300002788 DONGOSA, JOSE ELESIO M","9376000065 PIPE,BI 2""XS-60   ",50,"1,949.00","97,450.00",PHP,58.177,"97,450.00",               ,mcastano ,Product,30,11/21/2025
0,4G0215981,P11001632,10/4/2025,11/4/2025,DR#3554                       ,300001052 POLARA CHEMICAL CORPOR,"9230800005 CAUSTIC SODA,FLAKE","1,875.00",51.5,"96,562.50",PHP,58.755,"96,562.50",               ,jbuagas  ,Product,30,12/4/2025
0,4G0214269,P11001633,10/4/2025,10/25/2025,INV#CPT25-10-003-GTC          ,300002485 CRAFTZ PACKAGING THAI ,4712140039 POUCH 50g PETIO JE,"150,000.00",0.04,"6,000.00",USD,58.608,"351,648.00",               ,bpanagui ,Product,30,11/24/2025
0,4G0214269,P11001633,10/4/2025,10/25/2025,INV#CPT25-10-003-GTC          ,300002485 CRAFTZ PACKAGING THAI ,4712140041 POUCH 50g PETIO JE,"76,800.00",0.04,"3,302.40",USD,58.608,"193,547.06",               ,bpanagui ,Product,30,11/24/2025
0,4G0232047,P11001634,10/4/2025,2/5/2026,INV#CPT25-11-001-GTC          ,300002485 CRAFTZ PACKAGING THAI ,6212010033 POUCH (300mm X 420,"150,000.00",0.32,"48,000.00",USD,58.968,"2,830,464.00",               ,bpanagui ,Product,30,3/7/2026
0,4G0237506,P11001635,10/4/2025,2/28/2026,INV#CPT25-11-005-GTC          ,300002485 CRAFTZ PACKAGING THAI ,6212010057 POUCH 94X160 PILLO,"1,530,000.00",0.03,"56,610.00",USD,57.554,"3,258,131.94",               ,bpanagui ,Product,30,3/30/2026
0,4G0221448,P11001673,10/7/2025,12/2/2025,INV#25294-01                  ,300002516 OMNICO ENGINEERING PTE,"9154400266 LEVEL SENSOR, 9060",1,"3,150.00","3,150.00",USD,58.595,"184,574.25",               ,jbuagas  ,Product,30,1/1/2026
0,4G0221450,P11001673,10/7/2025,12/2/2025,                              ,300002516 OMNICO ENGINEERING PTE,9502000002 FREIGHT AND HANDLI,0.25,"2,675.00",674.9,USD,58.595,"39,545.77",               ,cws      ,Cost,30,1/1/2026
0,4G0232506,P11001673,10/7/2025,2/7/2026,INV#25294-02                  ,300002516 OMNICO ENGINEERING PTE,9151200211 DISPLAY ASSEMBLY  ,1,"2,188.00","2,188.00",USD,58.827,"128,713.48",               ,mcastano ,Product,30,3/9/2026
0,4G0232506,P11001673,10/7/2025,2/7/2026,INV#25294-02                  ,300002516 OMNICO ENGINEERING PTE,9151200211 DISPLAY ASSEMBLY  ,1,78,78,USD,58.827,"4,588.51",               ,mcastano ,Product,30,3/9/2026
0,4G0232506,P11001673,10/7/2025,2/7/2026,INV#25294-02                  ,300002516 OMNICO ENGINEERING PTE,9151200211 DISPLAY ASSEMBLY  ,4,631,"2,524.00",USD,58.827,"148,479.35",               ,mcastano ,Product,30,3/9/2026
0,4G0220555,P11001684,10/7/2025,11/27/2025,DR#006127                     ,210000197 CORTESS PRINTING CORP ,6114400002 LBL 401 EXPORT GEN,"22,120.00",2.48,"54,990.32",PHP,58.835,"54,990.32",               ,bpanagui ,Product,30,12/27/2025
0,4G0215704,P11001712,10/9/2025,10/31/2025,INV#7315725065701960411       ,300002747 ATLANTIC NATURAL FOODS,6102430109 OIK019 BF FAT FLAV,37,17.4,643.8,USD,58.771,"37,836.77",               ,bpanagui ,Product,30,11/30/2025
0,4G0213381,P11001721,10/9/2025,10/20/2025,DR#2713381                    ,288000088 VISKASE SALES PHILIPPI,6102430288 OIK756 # 23 x 110 ,"6,000.00",1.95,"11,733.00",USD,58.113,"681,839.83",               ,bpanagui ,Product,30,11/19/2025
0,4G0212861,P11001722,10/9/2025,10/16/2025,INV#900646796                 ,300003170 DSM FOOD SPECIALTIES  ,6102370082 MAXAVOR FISH W YE ,25,28.17,704.25,USD,58.066,"40,892.98",               ,bpanagui ,Product,30,11/15/2025
0,4G0218480,P11001731,10/9/2025,11/17/2025,SCI#6338                      ,"252000076 SUNICO, MARIO DECATORI",6116570029 FIRE EXTING CO2 10,4,900,"3,600.00",PHP,58.937,"3,600.00",               ,mcastano ,Product,30,12/17/2025
0,4G0226879,P11001766,10/11/2025,1/12/2026,BL#EGLV050501234770/INV#115/25,272000145 ROYAL CAN INDUSTRIES C,6106010055 TIN CAN 307x113   ,"472,017.00",0.08,"38,705.39",USD,59.164,"2,289,965.69",               ,bpanagui ,Product,30,2/11/2026
0,4G0226879,P11001766,10/11/2025,1/12/2026,BL#EGLV050501234770/INV#115/25,272000145 ROYAL CAN INDUSTRIES C,6106020009 CAN ENDS 307-plain,"472,017.00",0.06,"31,625.14",USD,59.164,"1,871,069.78",               ,bpanagui ,Product,30,2/11/2026
0,4G0226527,P11001786,10/14/2025,1/10/2026,SI#01842                      ,288000002 V.A AGRI INDUSTRIAL TR,"9177000082 SPRING, COMPRESSIO",1,"2,500.00","2,500.00",PHP,59.148,"2,500.00",               ,mcastano ,Product,30,2/9/2026
0,4G0226527,P11001786,10/14/2025,1/10/2026,SI#01842                      ,288000002 V.A AGRI INDUSTRIAL TR,"9177000082 SPRING, COMPRESSIO",1,"4,350.00","4,350.00",PHP,59.148,"4,350.00",               ,mcastano ,Product,30,2/9/2026
0,4G0232208,P11001788,10/14/2025,2/6/2026,DR#26460                      ,252000479 MATERIALS SOLUTIONS IN,"9277000077 SOLVENT, INKJET 93",30,"1,800.00","54,000.00",PHP,58.827,"54,000.00",               ,jbuagas  ,Product,30,3/8/2026
0,4G0224602,P11001794,10/15/2025,12/21/2025,DR#74087                      ,201000600 ALLIED PACIFIC PACKAGI,6209740006 LBL 307 EXPORT GEN,"48,860.00",0.26,"12,703.60",PHP,58.605,"12,703.60",               ,bpanagui ,Product,30,1/20/2026
